Demanda;Temperatura;Wday
1.682.798;20.2;0
1.830.822;21.9;1
1.845.135;25.1;1
1.748.963;26.0;0
1.885.909;23.0;1
1.889.169;22.2;1
1.738.142;20.3;0
1.695.152;26.1;0
1.957.288;19.6;1
1.999.029;20.0;1
2.053.375;27.4;1
2.280.782;32.4;1
2.585.984;34.0;1
2.017.970;22.4;0
1.876.298;22.5;0
2.546.636;30.0;1
3.222.323;42.4;1
3.439.934;41.5;1
3.476.376;43.2;1
3.329.455;43.1;1
2.197.517;23.7;0
1.869.816;22.3;0
2.284.876;24.0;1
2.223.650;23.1;1
2.204.669;23.3;1
2.405.806;29.6;1
2.246.652;22.1;1
1.811.498;20.3;0
1.822.231;27.0;0
2.302.226;34.5;0
3.093.744;41.4;1
2.432.239;24.5;1
2.583.896;29.2;1
2.593.053;26.8;1
2.413.185;29.2;0
2.645.050;38.6;0
2.649.556;33.9;1
2.216.807;25.7;1
2.371.498;30.5;1
2.764.134;35.1;1
2.833.155;35.6;1
2.725.084;40.0;0
2.436.298;39.5;0
2.230.845;24.7;1
2.387.871;26.2;1
2.522.366;26.9;1
2.509.030;26.6;1
2.424.558;26.6;1
2.142.726;28.7;0
1.752.935;23.0;0
2.164.104;25.3;1
2.326.376;30.2;1
2.223.622;25.4;1
2.102.031;20.3;1
2.116.370;20.4;1
1.867.995;19.6;0
1.782.322;22.9;0
2.216.854;24.3;1
2.375.595;32.7;1
2.205.093;21.8;1
2.167.880;21.5;1
2.148.875;23.5;1
1.935.388;23.1;0
1.833.550;22.3;0
2.283.825;25.0;1
2.553.741;33.3;1
2.339.622;25.6;1
2.164.703;20.8;1
2.159.607;22.5;1
1.945.699;27.8;0
2.007.804;32.7;0
2.139.160;32.1;0
2.405.818;31.1;1
2.203.766;21.8;1
2.191.226;22.7;1
2.239.310;26.2;1
1.919.780;29.1;0
1.729.602;20.3;0
2.126.693;24.7;1
2.167.992;24.1;1
2.159.562;22.2;1
2.268.287;30.7;1
2.219.756;22.9;1
1.862.491;19.4;0
1.792.746;18.7;0
2.135.667;18.8;1
2.146.133;24.4;1
2.174.129;26.9;1
2.217.905;25.3;1
2.148.814;21.5;1
1.852.121;23.6;0
1.817.951;25.9;0
2.306.637;30.1;1
2.532.901;32.9;1
2.355.289;26.0;1
2.227.004;18.2;1
2.189.320;19.7;1
1.921.518;24.1;0
1.825.951;24.3;0
2.184.745;24.5;1
2.262.018;22.0;1
2.255.993;17.8;1
2.238.808;18.9;1
2.203.987;18.9;1
1.897.302;22.4;0
1.807.974;21.5;0
2.129.014;20.7;1
2.161.034;21.1;1
2.183.603;21.6;1
2.151.137;24.3;1
1.777.474;18.8;0
1.837.940;17.3;0
1.789.498;18.3;0
1.813.320;18.1;0
2.198.456;17.6;1
2.189.037;19.2;1
2.179.708;18.3;1
1.896.816;20.5;0
1.893.522;19.2;0
1.861.761;17.2;0
2.227.253;21.3;1
2.268.940;22.3;1
2.278.383;17.6;1
2.341.514;15.6;1
2.348.755;13.9;1
2.055.938;17.0;0
2.036.670;13.7;0
2.378.857;16.4;1
2.406.153;16.0;1
2.403.634;16.2;1
2.413.502;18.4;1
2.367.497;18.3;1
2.063.455;16.3;0
1.927.160;19.7;0
2.293.544;19.9;1
2.300.164;20.1;1
2.244.637;20.2;1
2.169.592;22.4;1
2.126.305;22.8;1
1.889.991;20.0;0
1.815.075;21.4;0
2.170.623;22.8;1
2.243.771;21.6;1
2.219.410;23.1;1
2.224.899;20.9;1
2.215.659;20.3;1
1.956.669;17.1;0
1.903.111;20.2;0
2.260.510;20.8;1
2.269.175;21.7;1
2.302.927;18.0;1
2.346.604;15.8;1
2.318.486;17.7;1
2.010.383;18.4;0
1.997.129;14.9;0
2.325.876;16.4;1
2.350.114;16.4;1
2.309.970;18.1;1
2.320.875;16.7;1
2.346.715;15.4;1
2.024.323;16.8;0
1.967.197;14.9;0
2.065.046;15.4;0
2.357.782;18.3;1
2.410.994;16.2;1
2.436.167;16.2;1
2.372.126;16.5;1
2.121.366;15.2;0
2.033.582;16.0;0
2.413.206;17.0;1
2.447.568;15.8;1
2.445.883;14.2;1
2.528.974;12.2;1
2.396.948;15.1;1
2.110.494;15.0;0
2.056.888;15.4;0
2.453.576;14.4;1
2.617.745;14.3;1
2.482.476;15.7;1
2.433.896;15.6;1
2.415.915;14.5;1
2.188.741;12.7;0
2.202.953;11.0;0
2.550.056;13.1;1
2.548.101;13.1;1
2.450.865;16.6;1
2.478.669;12.4;1
2.490.520;12.4;1
2.184.067;15.2;0
2.129.148;13.9;0
2.412.600;15.7;1
2.429.725;14.3;1
2.575.991;13.3;1
2.579.806;14.7;1
2.476.547;14.4;1
2.270.290;11.1;0
2.209.397;14.9;0
2.588.287;13.1;1
2.641.827;12.9;1
2.535.232;14.6;1
2.598.050;12.1;1
2.562.355;13.8;1
2.234.825;13.2;0
2.157.748;13.2;0
2.588.278;12.9;1
2.689.846;12.2;1
2.672.355;13.4;1
2.693.544;14.9;1
2.532.748;15.9;1
2.231.568;14.9;0
2.112.160;16.8;0
2.420.725;16.7;1
2.464.046;16.5;1
2.378.841;18.9;1
2.396.187;19.3;1
2.633.148;9.8;1
2.275.769;13.4;0
2.216.350;14.2;0
2.566.197;15.2;1
2.504.816;16.5;1
2.468.155;15.9;1
2.520.098;13.6;1
2.435.690;15.9;1
2.171.874;14.6;0
2.129.136;13.6;0
2.610.586;12.7;1
2.624.751;12.7;1
2.535.156;14.5;1
2.498.530;14.8;1
2.449.549;16.9;1
2.211.463;13.3;0
2.105.977;15.7;0
2.502.505;13.6;1
2.482.650;13.3;1
2.473.034;13.3;1
2.427.937;17.4;1
2.311.652;20.6;1
2.025.800;19.9;0
2.008.607;16.3;0
2.391.268;16.1;1
2.369.323;18.7;1
2.330.740;19.5;1
2.331.221;20.0;1
2.338.208;15.0;1
1.930.105;21.0;0
1.893.291;21.0;0
2.362.696;17.8;1
2.382.240;16.1;1
2.414.517;14.8;1
2.417.054;15.9;1
2.335.166;16.7;1
1.981.050;18.9;0
1.860.104;20.7;0
2.182.276;20.8;1
2.227.274;20.7;1
2.220.213;19.1;1
2.267.373;17.1;1
2.313.683;15.9;1
1.965.834;18.5;0
1.850.438;20.1;0
2.254.641;18.0;1
2.356.982;14.8;1
2.361.329;16.2;1
2.411.509;13.7;1
2.303.640;15.5;1
1.998.989;16.8;0
1.870.570;17.2;0
2.174.684;23.0;1
2.151.564;25.3;1
2.154.661;23.5;1
2.177.978;17.0;1
2.147.996;19.3;1
1.847.269;23.3;0
1.773.159;27.9;0
2.077.305;22.9;1
2.181.746;23.8;1
2.246.942;15.9;1
2.249.024;17.4;1
2.123.656;18.1;1
1.837.487;26.2;0
1.735.839;19.2;0
2.211.614;25.0;1
2.167.209;17.7;1
2.212.251;18.7;1
2.177.267;23.1;1
2.139.397;24.9;1
1.862.191;21.2;0
1.814.456;27.5;0
2.221.222;15.5;1
2.287.036;16.9;1
2.256.833;17.1;1
2.245.799;16.7;1
2.145.551;18.1;1
1.917.391;24.2;0
1.839.389;28.8;0
2.132.147;20.6;1
2.229.096;28.2;1
2.330.016;31.1;1
2.246.348;22.7;1
2.279.454;30.4;1
1.932.198;19.8;0
1.829.607;24.5;0
2.129.383;22.5;1
2.209.596;19.7;1
2.187.275;22.5;1
2.187.459;21.8;1
2.267.615;32.7;1
1.878.364;20.3;0
1.863.019;16.6;0
2.005.634;23.3;1
1.869.384;28.9;0
2.066.377;17.8;1
2.119.857;23.5;1
2.272.132;32.8;1
2.054.283;34.6;0
1.760.597;19.4;0
2.119.239;20.2;1
2.153.201;18.8;1
2.222.635;24.3;1
2.396.066;30.6;1
2.236.820;27.7;1
1.895.637;18.0;0
1.820.131;18.1;0
2.083.546;20.1;1
2.118.105;20.9;1
2.174.702;29.6;1
2.287.774;28.1;1
2.152.890;23.0;1
1.960.592;30.8;0
1.872.593;25.0;0
2.225.512;19.6;1
2.139.397;21.8;1
2.180.656;18.7;1
2.149.400;19.4;1
2.125.017;20.5;1
1.937.848;24.3;0
2.132.383;34.1;0
2.424.983;29.0;1
2.327.346;26.0;1
2.280.617;23.5;1
2.359.962;26.4;1
2.240.923;21.2;1
1.921.555;22.5;0
1.858.437;17.7;0
2.160.966;21.2;1
2.170.111;20.8;1
2.198.595;21.1;1
2.157.580;21.4;1
2.191.628;27.4;1
2.094.520;31.2;0
1.968.496;25.9;0
2.282.496;23.4;1
2.310.967;32.1;1
2.141.462;22.3;1
2.163.581;24.0;1
2.060.286;19.9;1
1.890.453;23.0;0
2.040.398;33.3;0
2.304.448;24.7;1
2.194.981;26.7;1
1.929.426;22.2;1
1.666.984;23.4;0
1.668.567;20.1;0
1.737.280;22.2;0
1.885.128;31.2;0
